,index,PARCEL_NUM,O_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,P_ORG,Is_top_corpo
0,1,10217015,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,10412 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,46500,4650,186000,18600,232500,23250,71672,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
1,2,10217016,WALTER PROPERTIES LLC,5662 N 51ST AVE,GLENDALE,AZ,85301,USA,10416 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,170817089,02-NOV-2017,WD,40200,4020,161100,16110,201300,20130,57168,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,WALTER PROPERTIES LLC,,Y,1,SHERLOCK HOMES REALTY,0
2,5,10217019,DEMAREE LC,PO BOX 26660,PHOENIX,AZ,85068,USA,10428 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,100007618,06-JAN-2010,TD,40200,4020,161100,16110,201300,20130,57168,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,DEMAREE LC,,Y,1,DEMAREE LC,0
3,7,10217026,TAH 2017-1 BORROWER LLC,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,10427 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,170628102,25-AUG-2017,SD,45200,4520,181000,18100,226200,22620,65186,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-1 BORROWER LLC,,Y,1,TRICON RESIDENTIAL,1
4,9,10217029,SCHARBCO INVESTMENTS LLC,PO BOX 3030,BLAINE,WA,98231,USA,10415 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,220071374,25-JAN-2022,WD,41300,4130,165200,16520,206500,20650,60580,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SCHARBCO INVESTMENTS LLC,,Y,1,SCHARBCO INVESTMENTS LLC,0
5,12,10217035,2018-3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,10412 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,180504461,02-JUL-2018,SD,44000,4400,176200,17620,220200,22020,65016,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,INVITATION HOMES,1
6,13,10217041,H&A DIAZ 5 LLC,PO BOX 25006 PMB 43767,PHOENIX,AZ,85002,USA,10436 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,160807799,02-NOV-2016,WD,42700,4270,170900,17090,213600,21360,58874,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,H&A DIAZ 5 LLC,,Y,1,H&A DIAZ 5 LLC,0
7,14,10217043,2017-1 IH BORROWER LP,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,10444 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,170683029,15-SEP-2017,SD,42300,4230,169200,16920,211500,21150,50852,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,INVITATION HOMES,1
8,16,10217060,STAR 2021-SFR1 BORROWER LP,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,10458 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,210268125,10-MAR-2021,QD,38100,3810,152400,15240,190500,19050,55120,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2021-SFR1 BORROWER LP,,Y,1,INVITATION HOMES,1
9,19,10217073,RED DOOR ASSETS LLC,7770 REGENTS RD STE 113 PMB 564,SAN DIEGO,CA,92122,USA,4116 N 105TH DR,PHOENIX,85037,RESIDENTIAL,211208516,10-NOV-2021,WD,42000,4200,168200,16820,210200,21020,54949,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RED DOOR ASSETS LLC,,Y,1,RED DOOR ASSETS LLC,0
