,PARCEL_NUM,O_NAME,P_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,Is_corpo,Is_top_corpo,north,south,east,west,lat,lng
1,10217015,2017-2 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,10412 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,170842995,11/14/17,SD,46500,4650,186000,18600,232500,23250,71672,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,1,1,33.4950913,33.4949287,-112.2835458,-112.2836821,33.4949905,-112.2836218
7,10217026,TAH 2017-1 BORROWER LLC,TRICON AMERICAN HOMES,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,10427 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,170628102,8/25/17,SD,45200,4520,181000,18100,226200,22620,65186,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2017-1 BORROWER LLC,,Y,1,1,1,33.4953537,33.4952254,-112.2842011,-112.2843435,33.4952833,-112.2842738
12,10217035,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,10412 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,180504461,7/2/18,SD,44000,4400,176200,17620,220200,22020,65016,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.4958162,33.4956356,-112.2835466,-112.2836832,33.495764,-112.2835985
14,10217043,2017-1 IH BORROWER LP,INVITATION HOMES,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,10444 W DEVONSHIRE AVE,PHOENIX,85037,RESIDENTIAL,170683029,9/15/17,SD,42300,4230,169200,16920,211500,21150,50852,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,1,1,33.4957492,33.4956039,-112.2848445,-112.2849959,33.4956844,-112.2849025
16,10217060,STAR 2021-SFR1 BORROWER LP,STARWOOD PROPERTY TRUST,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,10458 W MONTEROSA ST,PHOENIX,85037,RESIDENTIAL,210268125,3/10/21,QD,38100,3810,152400,15240,190500,19050,55120,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2021-SFR1 BORROWER LP,,Y,1,1,1,33.4950888,33.4949285,-112.2854565,-112.2856055,33.4950127,-112.2855428
23,10217092,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,4115 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,180504459,7/2/18,SD,45700,4570,182900,18290,228600,22860,62627,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.4954516,33.495335,-112.2882589,-112.2884546,33.4954085,-112.2883486
24,10217098,RS XII PHOENIX OWNER 2 L P,STREETLANE HOMES,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,10535 W CALLE DEL SOL,PHOENIX,85037,RESIDENTIAL,211090948,10/8/21,WD,48800,4880,195200,19520,244000,24400,69624,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RS XII PHOENIX OWNER 2 LP,,Y,1,1,1,33.4960247,33.4958415,-112.2878446,-112.2879882,33.4959033,-112.2879295
26,10217109,THR PHOENIX LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4131 N 105TH AVE,PHOENIX,85037,RESIDENTIAL,200159062,2/25/20,SD,48100,4810,192600,19260,240700,24070,119806,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,1,1,33.4961446,33.4959638,-112.2860477,-112.2862769,33.4960708,-112.2861598
29,10217131,PROGRESS RESIDENTIAL BORROWER 19 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4124 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,220415465,5/12/22,SD,44600,4460,178400,17840,223000,22300,66724,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 19 LLC,,Y,1,1,1,33.4957048,33.495592,-112.2887104,-112.2889043,33.4956532,-112.2888143
31,10217141,RSTK PHOENIX OWNER 1 L P,STREETLANE HOMES,717 N HARWOOD ST STE 2800,DALLAS,TX,75201,USA,4125 N 106TH DR,PHOENIX,85037,RESIDENTIAL,220283895,3/30/22,WD,38500,3850,154300,15430,192800,19280,49489,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RSTK PHOENIX OWNER 1 LP,,Y,1,1,1,33.4955705,33.4954468,-112.289078,-112.2892261,33.4955086,-112.2891403
36,10217157,FKH SFR C1 L P,FIRSTKEY HOMES,1850 PARKWAY PL SE STE 900,MARIETTA,GA,30067,USA,10523 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,210788072,7/20/21,SD,38000,3800,152000,15200,190000,19000,59726,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FKH SFR C1 LP,,Y,1,1,1,33.4967436,33.4965681,-112.2876476,-112.2878052,33.4966452,-112.2877432
37,10217165,2018-1 1H BORROWER LP,INVITATION HOMES,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4112 N 106TH DR,PHOENIX,85037,RESIDENTIAL,180104958,2/12/18,SD,37800,3780,151300,15130,189100,18910,50512,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-1 IH BORROWER LP,,Y,1,1,1,33.4951762,33.4950498,-112.2896085,-112.289756,33.4951209,-112.2896526
41,10217182,STARDOM REAL ESTATE LLC,STARDOM REAL ESTATE LLC,3506 NORTH 24TH ST,PHOENIX,AZ,85016,USA,10522 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,120111152,2/10/12,TD,43500,4350,174100,17410,217600,21760,62627,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STARDOM REAL ESTATE LLC,,Y,1,1,1,33.4971211,33.496948,-112.2875903,-112.287741,33.4970369,-112.2876501
42,10217184,ATLAS RESIDENTIAL LLC,ATLAS RESIDENTIAL LLC,6250 E CHENEY DR,PARADISE VALLEY,AZ,85253,USA,10530 W HEATHERBRAE DR,PHOENIX,85037,RESIDENTIAL,100375625,5/3/10,SD,38300,3830,153300,15330,191600,19160,50852,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ATLAS RESIDENTIAL LLC,,Y,1,1,1,33.4971516,33.496971,-112.287909,-112.288072,33.4970498,-112.2880226
