corp,count,pctOfCorp,pctOfAll
Invitation Homes,2674,0.354736004,0.064857261
Progress Residential,1175,0.15587689,0.028499357
Tricon Residential,487,0.064605996,0.011812074
The Amherst Group,474,0.062881401,0.011496762
American Homes 4 Rent,431,0.05717697,0.010453807
Streetlane Homes,385,0.051074556,0.009338087
FirstKey Homes,299,0.039665694,0.007252177
Cold River Partners,202,0.026797559,0.004899464
Stardom Real Estate Companies,174,0.023083046,0.00422033
Yamasa Corporation,169,0.02241974,0.004099056
West USA Realty,159,0.021093128,0.003856509
Home Partners / Pathlight Property Management,127,0.01684797,0.003080356
RENU Property Management,101,0.01339878,0.002449732
Avenue One,97,0.012868135,0.002352713
My Community Homes,78,0.010347572,0.001891872
Atlas Residential LLC,61,0.008092332,0.001479541
Hudson Homes,61,0.008092332,0.001479541
Morningside Funding LLC,56,0.007429026,0.001358267
Metropolitan Real Estate,53,0.007031043,0.001285503
Renters Warehouse,52,0.006898382,0.001261248
Ran LLC,49,0.006500398,0.001188484
Market Edge Realty LLC,44,0.005837092,0.00106721
Urban Pointe Properties,44,0.005837092,0.00106721
Alpha Homes Management Inc.,43,0.005704431,0.001042955
Zak Ventures LLC,43,0.005704431,0.001042955
